Age,AreaTotal,AreaBsmt,AssessedValueTotal,ConstructionTypeNumber,StyleNumber,TaxAmount,MeanEnergy
1969,4988,2710,291240,2,4,10335.2,2568.427292
1988,3374,2335,192260,2,2,9967.14,866.4748105
1989,9147,5004,683610,2,3,26605.02,2862.035989
1982,3096,1701,218780,2,2,11425.42,783.1934395
1982,5924,3598,340860,2,3,12509.6,1857.803679
1996,5727,1471,390950,4,3,15114.3,2457.305771
1968,2932,1689,242400,1,4,12620.56,1769.575176
1992,1781,814,96970,3,3,8254.62,1253.998442
2006,7560,3966,591130,2,3,31640.3,2702.009687
1924,2773,1543,192370,4,3,14362.24,896.9625132
1999,1644,743,75090,3,7,6053.2,970.2634079
1959,1414,1092,74070,2,2,3648.5,692.4538947
1954,1464,792,66000,2,2,4953.96,863.9305763
1954,1946,1162,69890,3,3,5670.56,1146.805974
1964,1172,1172,75660,2,2,4419.2,556.3240947
1956,1460,768,81220,3,1,5140.92,387.7761368
1962,1200,1200,73250,2,2,5552.58,1019.015663
1966,2572,850,114730,3,4,9650.34,1274.328971
2001,2409,1082,141980,3,3,9053.56,2020.08345
1958,1160,575,62790,3,4,5153.14,373.4010474
1955,1415,1079,58150,2,2,4732.1,517.1306368
1912,2889,1683,119320,4,3,10282.66,1018.395126
1962,1124,600,65100,1,4,4909.04,763.4198895
1964,928,644,34250,2,6,2563.42,351.8901079
1960,966,567,37430,2,4,2398.26,568.5812553
1924,1500,1140,101440,3,2,6969.58,1555.580732
1924,1224,1127,97460,3,5,6662.88,585.1732649
2000,2707,1165,168190,1,3,12498.86,440.8554216
1923,3001,1227,190030,3,3,14181.92,1322.070349
1986,1288,720,72200,3,6,5825.52,944.9448811
1928,1982,1022,81620,1,3,6625.3,1089.893811
1923,2374,809,61240,3,3,5012.48,1508.620527
1952,1004,1004,66040,2,2,5448.04,298.1881514
1955,1168,1168,59730,2,2,4875.46,545.5663811
1850,2445,1115,116100,3,3,3720.5,1202.079897
1956,1064,1064,61070,3,2,3333.66,790.9179865
1970,1233,624,66730,3,4,4043.42,966.0528459
1946,1163,775,68020,2,1,4129.3,581.1609514
1970,2930,1456,152410,3,3,9453.4,957.4623189
1974,2564,1121,155380,3,3,9322.34,563.5123486
1967,1768,1144,113880,1,4,6965.6,1141.224946
1968,2592,1495,132720,3,3,7859.22,1229.89793
1967,2833,782,125760,3,4,7732.68,821.5585892
1968,2581,1150,123010,3,4,7232.28,1059.662778
1993,3563,1601,167890,4,3,8728.28,1926.523122
1952,2980,1490,173770,3,3,9333.56,1423.16313
1991,1218,1080,75320,3,4,4015.32,413.9035378
1985,2765,840,114050,3,3,7799.76,657.0391351
1985,2193,892,114310,3,3,6993.36,1974.330562
1972,1801,793,89660,1,7,5083.1,426.8427297
1971,1644,388,70370,1,7,4159.66,779.0650703
1956,1290,1080,72700,3,2,6052.36,689.5392892
1977,1338,648,89530,3,4,5289.72,253.7487972
1965,1909,416,98710,3,3,8115.9,286.0268694
1955,2162,570,87450,1,3,7295.32,1063.748797
1979,2556,1219,111830,3,3,8877.08,1038.359608
1979,2397,1117,107460,3,3,8932.54,980.3041722
1980,2761,1456,115570,3,3,9646.56,780.3320306
1979,2914,1310,113630,3,3,9475.76,2628.141856
1989,3715,1423,190510,1,3,15932.42,1629.832164
1960,1455,1455,79550,2,2,6084.16,426.9154778
1957,1665,1050,89450,2,2,6962.84,332.4155667
1967,2119,832,110120,3,6,6798.64,851.3045
1965,1466,992,82530,3,6,6576.08,733.8596444
1966,1277,1040,75750,3,4,5993.48,664.582175
1921,616,616,50060,3,5,3998.02,944.9206886
1960,1320,1320,68010,3,2,4128.64,418.0562086
1956,1346,1346,71840,2,2,6092.26,549.3419429
1954,1216,928,82530,3,2,4257.6,1374.85678
1954,1090,1090,64590,2,2,2598.76,328.8869514
1980,3173,1240,171620,3,3,14699.62,966.5986
1979,2132,1066,108150,3,3,8622.56,974.11306
1967,1176,756,64790,3,6,5051.72,412.4274914
1967,1466,1202,81330,3,6,6472.96,1185.770277
1976,1135,575,70720,3,4,5670.32,445.5974676
1973,1286,961,70120,3,4,6488.28,1063.910538
1965,1568,560,70450,1,4,5394.5,493.0038912
1959,1026,1026,64030,2,2,3530.74,546.8810735
1967,1893,693,86990,1,4,5059.42,496.4987853
1962,1070,627,67090,3,4,3734.48,381.2634824
2000,3574,1644,149490,2,3,12798.98,2300.645882
1958,946,946,72060,3,2,3900.38,524.4401941
1965,2470,1235,115350,3,3,9705.36,828.3813059
1958,1228,1228,74240,2,2,6056.66,1149.234244
1956,2658,1543,105060,2,1,8792.08,647.6459853
1960,1212,621,62140,3,4,5094.16,238.003
1962,1062,576,56330,3,4,4113.26,502.011797
1997,2483,933,84160,3,3,7092.24,837.8472061
1955,1020,363,40090,3,4,3154.4,331.2716303
1959,1704,703,97870,2,4,4441.3,653.1503545
1979,2566,1053,110060,3,3,8721.26,535.210797
1956,1152,768,52750,3,1,4242.1,683.486725
1965,1238,606,80250,2,4,6870.44,699.6676719
1927,692,692,55470,3,5,4488.92,728.7174844
1954,999,999,81780,2,2,5454.52,444.4080094
1953,1524,1008,71280,2,1,5923.52,487.472125
1952,1176,904,63220,3,2,4738.46,923.5723906
1952,1245,960,74450,2,2,6211.16,661.8428125
1928,1422,948,69890,2,1,5797.38,419.7297516
1967,1193,1193,61630,2,2,5147.5,751.4179742
1910,1615,899,71050,3,1,3852.08,406.3184387
1953,1115,1115,72570,2,2,5832.4,477.0634065
1910,2225,1062,112220,2,3,9184.72,681.6686839
1952,1680,1120,77660,3,1,6502.44,1106.160316
1968,2414,1064,123040,3,3,7557.04,912.0797419
1968,1100,520,64430,3,4,3647.62,494.1925419
1892,1686,843,127480,3,3,5234.9,385.8999581
1960,1019,471,64550,1,4,5312.84,760.713
1949,2100,676,84890,1,3,7299.78,828.45187
1952,1178,344,86250,3,4,5799,450.53644
1954,1629,1116,151290,1,2,10811.18,510.2200655
1942,1197,798,47990,3,1,3810.18,304.545831
1959,1026,576,55510,3,4,4038.84,1247.106217
1952,1442,364,85080,2,4,6094.16,432.4603586
1974,2874,1246,149470,2,3,11056.24,706.4933138
1962,1187,1187,66920,2,4,4756.6,532.1928107
1951,1008,1008,52930,3,2,3804.74,173.3812929
1955,1170,576,65610,3,2,3016.2,864.9993036
1959,2037,637,110600,1,4,9037.72,523.7173429
1963,1920,1195,107150,1,4,8724.66,665.8789214
1953,1237,720,74780,3,1,6364.3,773.2928357
1955,2122,570,85180,2,3,7092,1330.963214
1970,2236,456,162560,1,7,5950.7,596.46325
1940,2000,522,104550,3,3,6157.1,463.6060679
1979,2311,1078,106330,3,3,8392.86,1134.820496
1955,1177,640,58680,3,4,4780.2,437.0360778
1960,966,567,35400,2,4,3212.2,276.0757692
1953,900,900,49540,3,2,3497.12,408.6888846
1976,1323,636,68950,1,4,5515.24,447.5688731
1917,1663,1240,76180,3,5,6368.14,803.3451423
1950,1209,390,87830,1,4,5920.76,553.0898308
1947,1163,775,64670,2,1,3906.26,858.7292577
1964,1357,1357,73710,1,2,5690.32,916.4219346
1939,1292,646,104560,2,3,7595.34,455.257208
1955,1052,1052,41190,3,2,3193.14,690.516628
1959,1026,576,58150,3,4,4732.1,618.976012
1961,1026,576,53130,3,4,3596.94,480.77038
1960,1026,576,53020,3,4,2128.76,412.173752
2002,3686,1994,224520,2,3,16839.82,1241.685172
1976,1392,820,69910,3,6,4255.14,693.198744
1954,1136,392,73620,3,4,4502.14,458.048368
1955,1197,1197,71920,2,2,4310.16,577.439032
1953,1779,866,77700,3,2,3710.74,1037.852312
1959,1026,576,59630,3,4,4866.4,595.8809583
1927,2042,1522,92640,1,3,7861.72,678.290625
1952,1098,1098,62050,3,2,4632.28,822.3322917
1965,1216,612,64840,3,4,5444.54,330.4900292
1958,2097,961,75820,3,1,4358.66,1175.748525
1989,2844,1422,135950,3,3,12024.42,611.6876792
1953,2460,1080,73150,3,4,5639.5,931.0465458
1953,1634,1634,82170,3,2,7048.1,687.3031826
1965,1273,345,71850,3,4,5331.26,261.9812913
1961,1920,620,103380,1,4,8836.28,565.1932261
1967,1458,1344,80600,3,6,6440.16,1472.216039
1986,2547,1240,108700,3,3,7773.26,884.638
1926,838,838,69110,2,5,5726.62,658.5337182
1959,2403,1190,80220,1,3,6734.74,847.4614364
1956,1044,1044,63800,3,2,5244.78,695.9990545
