Temp.Box.F,Temp.Amb.F,Input.1,Input.2,Input.3,Input.4,Input.5,Input.6,Input.7,Input.8,Input.9,Input.10,Input.11,Input.12,Input.13,Input.14,Input.15,Input.16,Input.17,Input.18,Input.19,Input.20,Input.21,Input.22,Input.23,Input.24,Input.25,Input.26,Input.27,Input.28,Input.29,Input.30,Input.31,Input.32,Input.33,Input.34,Input.35,Input.36,Input.37,Input.38,Input.39,Input.40,Input.41,Input.42,Input.43,Input.44,Input.45,Input.46,Input.47,Input.48,Input.49,Input.50,Input.51,Input.52,Input.53,Input.54,Input.55,Input.56,Input.57,Input.58,Overall.Watts,Compressor.Port.Temp,Worn.Scroll.Condition,Good.Condition,HVE.Fail
-19,76,95,100,75.81,-19.27,274.09,216.4,354.69,358.06,218.99,22.78,84.71,351.63,22.62,355.33,0.62,1.29,2.94,84,11.19,24.95,32.08,212.53,123.43,218.99,-18.85,-27.13,-19.55,-21.5,55.28,32.85,48.29,119.5,118.53,47.64,-0.89,42.5,16668.89,16611.58,24.63,75.91,219.73,128.07,91.66,99.95,-19.84,-21.05,-19.15,-27.5,0.83,6211.22,2.75,143.66,0,0,0,275.19,2233.39,7620.64,6726.08,225.54,1,0,0
-41,74,115,100,74.35,-41.1,116.53,99.03,211.14,214.27,189.76,13.38,41.17,209.96,13.21,212.65,1.12,1.13,3.59,88.31,10.13,20.73,40,179.14,83.76,189.76,-41.38,-46.37,-42.04,-43.18,14.06,0.32,1.55,81.98,82.54,6.73,-13.76,-0.46,11452.28,8370.71,20.58,73.5,192.96,84.9,108.06,100,-40,-41.22,-41.35,-45.79,0.68,3569.36,0,613.38,0,0,0,276.8,276.94,944.97,4535.47,202.41,1,0,0
-39,75,113,100,74.37,-38.65,154.4,129.3,307.73,309.96,244.32,12.69,47.31,307.17,12.63,310.34,2.96,4.12,4.33,115.84,14.66,18.98,47.31,234.96,110.89,244.32,-38.51,-43.13,-39.22,-40.6,18.97,4.52,6.09,104.26,103.54,6.72,-8.11,0.04,10482.4,11117.31,19.63,74.66,245.33,116.45,128.88,99.98,-40,-38.23,-38.56,-42.68,0.76,4641.86,2.8,115.17,0,0,0,275.32,47.14,160.83,5110.95,258.42,1,0,0
-40,77,117,100,74.08,-39.67,185.53,101.94,212.35,215.17,184.63,13.73,38.65,212.18,13.74,213.85,0.37,0.33,5.41,94.84,12.51,16.67,37.64,176.9,82.34,184.63,-40.91,-46.06,-39.42,-39.87,7.07,-0.34,-1.32,78.62,77.88,-0.47,-14.71,-6.59,10880.32,13757.47,16.8,74.19,180.51,84.28,96.23,100,-40,-41.25,-41.11,-45.85,0.69,3577.76,50.01,618.69,0,0,50.01,279.48,227.75,777.13,4551.33,212.7,0,1,0
-20,100,120,100,74.36,-18.43,296.7,186.89,311.18,314.22,200.62,22.34,69.48,310.55,22.4,312.13,0.42,0.24,3.88,88.43,13.46,16.58,31.32,194.39,112.3,200.62,-18.81,-28.75,-17.29,NA,36.18,27.22,26.75,108.17,107.4,34.59,-2.05,27.98,16854.53,19529.91,16.6,92.98,196.91,111.41,85.5,100,-19.84,-21.04,-19.63,-28.54,0.81,5440.78,50.01,595.16,0,0,50.01,278.21,2342.32,7992.33,6396.52,218.98,0,1,0
-20,77,97,100,74.53,-20.15,291.19,137.53,224.76,227.96,168.1,21.18,54.15,223.99,21.14,225.56,0.66,0.66,5.01,79.55,13.07,15.13,NA,162.77,86.8,168.1,NA,-30.97,-19.5,-22.59,21.8,13.39,13.15,84.45,84.01,17.37,-6.75,12.51,18515.28,20533.14,15.14,74.24,164.68,87.53,77.15,100,-19.84,-23,-21.3,-30.8,0.74,4235.79,50.01,609.4,0,0,50.01,270.99,2864.41,9773.76,5194.43,185.47,0,1,0
0,100,100,100,75.1,0.76,428.22,224.42,328.68,332.66,192.11,32,86.9,327.28,31.97,328.44,0.47,1.31,4.2,71.58,14.98,18.1,28.71,186.85,116.26,192.11,1.39,-11.81,1.86,-3.22,49.93,39.06,39.08,113.21,112.73,53.83,10.47,48.82,24445.83,26107.28,17.97,91.9,188.31,115.93,72.38,100,0.14,-2.41,1.56,-12.45,0.84,6193.55,50.01,590.31,0,0,50.01,262.61,4964.11,16938.26,7134.99,205.7,0,1,0
0,77,77,100,75.49,0.06,437.19,202.12,243.26,247.77,160.49,31.88,74.29,241.48,31.81,242.5,0.45,0.44,4.17,64.56,13.37,16.84,24.57,155.6,93.39,160.49,1.05,-13.07,0.62,-4.97,40.04,28.44,31.04,91.42,90.97,36.28,6.14,32.76,28122.24,28985.49,16.86,75.02,156.14,92.19,63.95,100,0.14,-6.02,1.2,-13.74,0.79,5003.75,50.01,616.75,0,0,50.01,259.19,6092.25,20787.62,5959.61,169.6,0,1,0
30,100,70,100,77.23,41.82,965.03,409.84,405.29,419.17,187.98,76.02,181.35,394.14,75.79,391.68,1.67,0.67,NA,0,NA,24.9,NA,184.27,136.58,187.98,NA,31.15,45.62,39.69,102.39,NA,NA,133.45,NA,NA,45.29,95.26,50899.24,NA,25.17,94.3,184.85,131.53,53.32,99.97,30.02,40.68,45.46,30.42,0.89,9300.8,50.01,592.57,50.01,1155.57,0,0,12614.35,43041.95,11193.97,202.7,0,1,0
30,100,70,77,76.1,36.41,737.88,0,334.3,339.55,171.21,75.28,95.38,95.84,75.02,330.95,0.77,0.4,4.58,7.52,13.89,67.86,23.39,168.33,117.19,171.21,38.17,29.85,39.28,37.75,104.99,NA,NA,92.34,113.47,113.2,47.06,113.45,30707.2,31127.22,NA,93.25,168.85,116.48,52.37,79.33,30.02,36.35,38.36,30.02,0.67,4954.56,50.01,603.76,50.01,1174.85,0,0,6596.16,22507.02,6806.65,185.25,0,1,0
