Temp.Box.F,Temp.Amb.F,Input.1,Input.2,Input.3,Input.4,Input.5,Input.6,Input.7,Input.8,Input.9,Input.10,Input.11,Input.12,Input.13,Input.14,Input.15,Input.16,Input.17,Input.18,Input.19,Input.20,Input.21,Input.22,Input.23,Input.24,Input.25,Input.26,Input.27,Input.28,Input.29,Input.30,Input.31,Input.32,Input.33,Input.34,Input.35,Input.36,Input.37,Input.38,Input.39,Input.40,Input.41,Input.42,Input.43,Input.44,Input.45,Input.46,Input.47,Input.48,Input.49,Input.50,Input.51,Input.52,Input.53,Input.54,Input.55,Input.56,Input.57,Input.58,Overall.Watts,Compressor.Port.Temp,Worn.Scroll.Condition,Good.Condition,HVE.Fail
57,77,20,20.17,74.34,63.86,257.65,0,263.03,266.57,155.54,127.77,136.94,136.64,127.71,263.32,4,4.4,1.57,4.53,7.64,58.13,26.02,156.95,101.65,155.54,64.46,57.62,64.51,62.31,117.12,89.79,99.25,80.86,98.54,98.64,80.66,98.8,13058.9,12933.94,58.52,74.85,155.28,103.95,51.34,20.43,57.02,61.1,64.37,57.02,0.29,1734.44,3.72,127.58,6.11,145.87,41.45,203.44,2920.18,9964.07,2278.85,192.68,0,1,0
57,77,20,5.72,75.47,58.49,51.6,0,250.66,251.07,175.53,131.49,135.49,135.63,131.11,252.43,0.5,1,0.85,9.62,8.95,86.35,57.05,164.3,98.83,175.53,57.97,57.4,59,65.48,144.65,90.52,104.57,85.01,96.03,95.71,113.42,90.57,2280.91,2761.45,85.96,77.58,188.4,101.48,86.91,5.6,57.02,57.48,57.7,57.01,0.19,861.09,0.46,31.51,2.82,79.26,44.83,219.41,0,0,1239.49,345.8,0,1,0
40,36.26901377,-3,49.9,74.38,39.75,510.47,0,268.6,273.55,137.74,85.62,99.8,99.11,85.23,99.11,0.45,0.98,4.45,12.27,7.69,38.41,17.47,138.31,100.19,137.74,41.04,34.65,40.41,38.66,78.06,63.55,83.9,45.96,90.91,89.44,48.19,92.06,26748.05,25821.39,38.24,36.27,141.25,103.93,37.32,50.31,34.88,40.16,41.48,35.06,0.47,3078.84,2.42,100.18,50.03,1154.94,0,0,5703.96,19462.71,4410.7,166.12,0,1,0
0,48,48,100,73.17,-1.22,440.68,105.95,168.85,173.64,127.27,31.1,57.05,166.85,30.96,168.77,0.22,0.09,4.62,49.9,11.52,14.81,21.57,121.64,67.32,127.27,0.8,-14.55,-1.49,-7.92,24.13,11.89,13.65,62.42,65.26,22.66,1.94,22,30033.71,30028.67,14.8,48.27,126.12,67.91,58.21,100,0.14,-6.21,1.46,-15.08,0.68,3850.34,43.49,594.36,0,0,50.03,278.09,6660.94,22728.08,4809.95,141.81,0,1,0
37,11.64030537,-26,11.72,71.44,37.2,90.21,0,132.06,133.17,80.74,89.58,92.29,91.6,88.37,132.73,1.33,1.89,3.17,16.17,1.52,25.25,2.85,81.88,52.78,80.74,37.46,35.12,36.18,35.12,60.47,31.69,45.52,18.33,39.95,37.91,35.68,40.1,6623.18,5954.71,25.43,11.64,93.14,57.21,35.93,10.35,34.88,37.27,38.2,35.04,0.2,904.02,0,0,2.12,66.8,45.54,231.71,631.1,2153.41,1256.87,186.96,0,1,0
17,22,5,15.69,70.42,16.88,95.99,0,170.31,171.32,99.94,62.26,66.1,65.29,62.13,172.1,0.79,1.37,4.43,27.04,1.7,44.08,22.73,98.98,68.02,99.94,16.69,14.24,15.71,15.5,60.87,34.82,46.78,28.68,48.98,46.51,36.41,46.11,5699.04,6139.06,44.05,22.09,110.23,73.44,36.78,16.92,15.08,16.96,17.62,15.06,0.22,1013.29,0,0,5.72,73.39,0.06,233.17,0,0,1376.13,206.81,0,1,0
-20,48,68,100,72.85,-1.48,438.93,105.67,168.91,173.68,127.01,30.98,56.84,166.92,30.83,168.83,0.14,0.18,4.67,50.12,11.51,14.8,21.55,121.69,67.29,127.01,0.52,-14.73,-1.69,-8.1,23.94,11.72,13.4,62.33,65.15,22.48,1.73,21.81,29958.58,30500,14.81,48.1,126.19,67.92,58.28,100,0.14,-6.46,1.2,-15.29,0.69,3844.47,21.05,584.31,0,0,25.03,278.82,6635.32,22640.67,4797.19,141.9,0,1,0
-19,48,67,98.67,72.43,-19.24,307.04,94.22,166.59,169.64,135,22.17,44.36,163.93,22.08,167.61,0.35,0.27,5.42,66.35,11.12,14.96,24.72,130.67,65.59,135,-18.75,-29.07,-19.69,-22.68,11.8,0.85,1.88,58.39,60.83,7.79,-9.25,5.06,20769.47,22379.11,14.72,47.54,137.08,67.67,69.41,100,-19.84,-22.44,-18.82,-29.6,0.67,3461.92,2.5,419.34,0,0,0,277.72,3578.77,12211.29,4303.47,156.67,0,1,0
94,78,-16,100,77.52,94.18,1224.3,159.86,418.61,426.56,221.64,100.16,154.17,412.3,99.51,405.55,2.03,0.59,41,59.29,58.25,17.41,59.59,211.23,99.04,221.64,101.11,77.24,100.02,98.31,84.1,66.89,83.16,95.44,97.61,77.71,99.26,78.12,86726.93,75017.03,17.41,77.92,218.81,126.66,92.16,100,77,99.5,101.39,77.5,0.89,9070.74,0,588.54,100,1046.29,0,0,24382.7,83197.22,10890.86,232.81,0,0,1
75,78,3,100,77.75,74.64,1166.14,185.96,383.42,391.69,200.39,91.11,145.56,377.22,90.45,371.73,2.02,1.05,32.71,55.52,43.07,17.76,45.64,191.77,100.11,200.39,81.34,58.92,80.3,77.65,80.74,63.53,79.93,96.52,98.29,74.64,79.8,74.78,78591.53,71278.03,17.91,77.61,198.35,121.69,76.66,100,56.84,79.6,81.58,58.73,0.88,8311.58,0,593.3,100,1079,0,0,21560.69,73568.11,10186.2,211.16,0,0,1
49,77,28,100,76.53,48.63,1057.85,228.86,327.41,337.52,171.07,77.74,134.88,321.3,77.17,317.83,1.78,0.68,13.72,44.31,22.07,19.12,26.9,165.79,106.44,171.07,54.21,35.84,52.29,47.76,77.24,59.22,76.29,102.02,103.27,73.67,52.18,73.51,64808.02,62106.5,19.15,76.89,171.03,112.1,58.92,99.99,34.88,47.77,53.8,35.24,0.86,7379.29,0,598.14,100,1110.5,0,0,16953.48,57847.68,9216.96,183.07,0,0,1
-1,77,78,100,76.53,-0.77,439.11,161.69,254.67,258.26,171.14,32.08,70.54,253.16,31.82,255.36,0.1,0.05,11.21,71.81,10.88,18.02,23.29,163.18,89.73,171.14,1.25,-13.09,-0.84,-7.18,38.43,24.6,26.19,85.6,86.45,32.69,4.86,29.33,28634.55,29482.27,18.03,76.87,169.93,95.07,74.86,100,0.14,-5.2,1.76,-13.63,0.8,5270.89,0,610.14,0,0,0,272.55,6122.31,20890.19,6210.27,186.13,0,0,1
-2,94,96,100,77.41,-1.99,418.55,204.45,348.39,351.32,211.89,32.11,82.23,346.89,31.93,348.98,0.47,0.36,16.16,85.1,10.84,19.27,25.82,201.36,108.93,211.89,-0.67,-13.06,-2.36,-7.18,48.06,34.3,36.36,104.62,105.64,44.85,7.54,40.12,24993.96,26592.92,19.28,94.17,210.13,118.84,91.29,100,0.14,-6.25,-0.19,-13.66,0.85,6846.55,0,595.42,0,0,0,272.79,4942.84,16865.66,7860.83,229.27,0,0,1
