"Area.Floor","Basement.Area","Attic.Area","Window.Area","Wall.Area","Attic.Rvalue","Windows.Rvalue","Walls.Rvalue","Furnace.eff","AC.SEER","Water.Heater.eff","Refrig.Energy.Year","Refrig.EF","Refrig.Size","Lights.Num.Fluor","Water.Heater.On.Summer","AC.On.Summer","Furnace.Pilot.On.Summer","Refrig.On.Summer","Duct.Open.Area.Basement.in2","Attic.Penetration.in2","Occupancy.Number","Electric.Baseline.Intensity.kW.sf","ElectricTotal.Intensity.kW.sf","Gas.Baseline.kBTU.sf","Gas.Heating.kBTU.sf","Gas.Total.Intensity.kBTU.sf","Heating.Degree.Hours","Cooling.Degree.Hours"
1115,0,973,256,1694,35,2,14,0.92,13,0.59,600,12,16.8,24,0,1,1,1,0,144,6,4,4,77,91.03934283,169,95343,1305
1115,0,973,262,1688,35,2,14,0.92,10,0.59,600,12,16.8,24,0,1,1,1,0,144,6,1,1,46,57.78036798,103,65478,135307
714,780,798,104,936,15,2,5,0.95,10,0.63,509,18,20.5,12,0,0,0,1,27,72,3,4,4,74,55.60889367,129,64866,1338
1115,0,973,241,1709,35,2,14,0.96,10,0.65,600,12,16.8,26,0,1,0,1,0,0,6,6,6,69,72.7809115,141,57238,2285
1115,0,973,214,1736,35,2,14,0.92,16,0.59,600,12,16.8,20,1,0,0,1,0,144,6,10,10,22,180.8937629,204,113990,757
1908,852,1009,98,2032,18,2,14,0.8,10,0.59,469,16,16.78,18,0,1,0,1,0,0,5,6,6,123,105.1610849,226,58488,5663
918,528,459,128,1192,18,2,5,0.95,10,0.56,407,22,20.5,16,1,1,0,1,27,0,3,5,5,79,94.64673942,172,65480,4211
1004,0,777,85,1835,35,2,14,0.94,15,0.65,469,16,16.78,16,1,0,0,1,0,144,6,6,6,11,93.63637661,106,121869,2598
1004,0,777,102,1818,35,2,14,0.94,0,0.65,469,16,16.78,16,1,0,0,1,0,144,6,5,5,32,113.0571738,146,116307,5571
1834,756,836,129,1761,22,2,5,0.95,13,0.81,407,22,20.5,18,0,0,0,1,0,36,5,5,5,80,74.08544152,153,61368,812
997,780,812,155,1795,22,2,5,0.95,13,0.59,407,22,20.5,20,1,1,0,1,0,0,6,5,5,49,75.89482275,125,116572,2119
997,780,812,190,1760,22,2,5,0.95,13,0.59,407,22,20.5,18,1,1,0,1,0,0,6,3,3,24,53.53645743,78,111262,7585
1832,840,880,166,1934,18,2,5,0.92,15,0.63,407,22,20.5,24,0,1,0,1,0,72,5,4,4,37,118.8202159,156,112388,4950
1190,612,728,83,1447,18,2,14,0.8,11.3,0.55,407,22,20.5,14,1,0,0,1,27,0,5,9,9,51,77.1527444,127,63348,5349
1568,840,832,140,1960,18,2,5,0.8,0,0.59,407,22,20.5,20,1,0,0,1,0,0,5,1,1,53,37.08357479,90,70185,135307
1512,624,660,169,1391,32,2,14,0.92,10,0.56,469,16,16.78,28,1,0,0,1,0,0,5,5,5,86,55.71728079,140,53150,5376
1698,0,1698,145,1925,38,2,14,0.94,15,0.58,587,20,26.4,20,0,1,0,1,0,0,6,11,20,64,121.2667085,185,238882,135307
1698,0,1698,116,1954,38,2,14,0.94,15,0.58,469,16,16.78,20,0,0,0,1,0,0,5,8,11,0,0,0,145077,24993
1698,0,1698,130,1940,38,2,14,0.94,15,0.59,469,16,16.78,20,0,1,0,1,0,0,5,10,10,45,92.05564239,138,111540,43116
1698,0,1698,101,1969,38,2,14,0.94,13,0.58,469,16,16.78,20,1,0,0,1,0,0,5,9,10,0,0,0,145077,24993
1698,0,1698,128,1942,38,2,14,0.94,13,0.58,469,16,16.78,20,1,1,0,1,0,0,5,13,13,79,86.0248232,163,58107,59475
1096,936,1096,106,1142,13,2,5,0.95,0,0.59,407,22,20.5,14,1,0,0,1,27,0,5,4,4,38,48.45400363,85,64254,40300
1115,0,973,218,1582,35,2,14,0.95,13,0.7,600,12,16.8,26,1,0,0,1,27,0,6,5,5,46,98.08555609,145,102146,15284
1115,0,973,205,1595,35,2,14,0.95,13,0.7,600,12,16.8,26,1,1,0,1,27,0,6,11,11,40,62.82583186,101,64823,4246
2773,1416,2640,292,3248,40,2,14,0.93,16,0.95,407,22,16.8,80,1,0,0,1,0,0,12,1,1,53,51.80808012,104,62542,135307
768,768,768,70,954,6,2,14,0.78,0,0.56,469,16,16.78,10,1,0,1,1,0,0,2,2,2,17,100.4510088,118,126190,109063
1460,660,910,153,1497,18,2,5,0.95,13,0.59,469,16,16.78,12,0,1,0,1,0,72,5,7,7,2,209.2382361,211,226782,2921
978,888,978,80,1104,6,2,13,0.95,13,0.59,407,22,20.5,10,0,0,0,1,0,0,2,9,9,59,80.83796006,138,59215,135307
1460,888,910,136,1048,6,2,14,0.78,13,0.55,600,12,16.8,14,0,1,0,1,0,0,5,6,6,30,50.35386006,79,62807,135307
1784,996,1504,131,2359,22,2,5,0.78,11.3,0.55,407,22,20.5,34,1,1,1,0,0,0,6,7,7,31,101.8259492,134,206476,6412
1152,804,944,112,1898,26,2,5,0.8,11.3,0.59,469,16,16.78,16,1,1,0,1,0,0,5,6,6,9,110.3707814,122,150994,7044
1632,828,1040,166,1904,18,2,5,0.81,0,0.56,600,22,20.5,20,0,0,0,1,0,144,5,5,10,35,22.86584478,57,58090,14058
