YRMODAMI,Wind.Dir,Wind.Speed.m.per.s,Visibility,Temp.Outside.F,Temp.Dewpoint.F
2013092204,NA,NA,NA,NA,NA
2013092205,330,6,10,51,46
2013092206,330,6,10,51,46
2013092206,330,7,10,50,46
2013092207,330,8,10,49,46
2013092208,340,6,10,49,46
2013092209,340,6,10,49,46
2013092209,350,5,10,48,46
2013092210,10,3,10,48,45
2013092211,10,5,10,49,46
2013092212,10,5,10,49,46
2013092212,20,8,10,53,48
2013092213,10,11,10,57,46
2013092214,10,15,10,59,42
2013092215,10,15,10,59,42
2013092215,330,11,10,61,43
2013092216,50,11,10,62,42
2013092217,20,13,10,63,42
2013092218,20,13,10,63,42
2013092218,20,10,10,65,41
2013092219,30,10,10,66,43
2013092220,40,6,10,66,42
2013092221,40,6,10,66,42
2013092221,10,6,10,66,42
2013092222,10,6,10,64,42
2013092223,30,3,10,59,43
2013092300,30,3,10,59,43
2013092300,60,5,10,57,44
2013092301,60,5,10,55,44
2013092302,60,6,10,52,44
2013092303,60,6,10,52,44
2013092303,60,6,10,50,44
2013092304,70,7,10,49,44
2013092304,NA,NA,NA,NA,NA
2013092305,80,6,10,49,44
2013092306,80,6,10,49,44
2013092306,40,3,10,49,44
2013092307,NA,0,10,48,43
2013092308,NA,0,10,47,43
2013092309,NA,0,10,47,43
2013092309,50,3,10,46,43
2013092310,90,3,10,46,42
2013092311,90,3,10,45,42
2013092312,90,3,10,45,42
2013092312,90,6,10,51,45
2013092313,100,8,10,56,47
2013092314,120,11,10,59,45
2013092315,120,11,10,59,45
2013092315,130,9,10,61,45
2013092316,90,8,10,64,46
2013092317,120,8,10,65,46
2013092318,120,8,10,65,46
2013092318,80,3,10,66,45
2013092319,50,8,10,68,45
2013092320,90,6,10,68,44
2013092321,90,6,10,68,44
2013092321,110,7,10,67,44
2013092322,90,8,10,65,44
2013092323,80,7,10,60,45
2013092400,80,7,10,60,45
2013092400,90,8,10,58,45
2013092401,90,8,10,55,45
2013092402,80,6,10,52,45
2013092403,80,6,10,52,45
2013092403,100,9,10,53,45
2013092404,100,7,10,50,45
2013092404,NA,NA,NA,NA,NA
2013092405,100,7,10,50,45
2013092406,100,7,10,50,45
2013092406,100,5,10,48,44
2013092407,110,7,10,48,44
2013092408,110,7,10,48,44
2013092409,110,7,10,48,44
2013092409,80,5,10,45,42
2013092410,100,6,10,46,43
2013092411,110,3,8,47,43
2013092412,110,3,7.5,47,43
2013092412,100,7,9.1,50,45
2013092413,120,8,10,55,46
2013092414,140,7,10,57,46
2013092415,140,7,10,57,46
2013092415,120,8,10,61,47
2013092416,NA,0,10,64,47
2013092417,110,6,10,66,46
2013092418,110,6,10,66,46
2013092418,990,3,10,68,45
2013092419,100,7,10,70,45
2013092420,NA,0,10,71,45
2013092421,NA,0,10,71,45
2013092421,140,5,10,71,45
2013092422,80,5,10,68,45
2013092423,70,5,10,63,46
2013092500,70,5,10,63,46
2013092500,80,6,10,60,46
2013092501,80,5,10,58,46
2013092502,100,6,10,57,46
2013092503,100,6,10,57,46
2013092503,90,6,10,57,46
2013092504,110,6,10,56,47
2013092504,NA,NA,NA,NA,NA
2013092505,120,5,10,57,48
2013092506,120,5,10,57,48
2013092506,110,5,10,56,47
2013092507,40,5,10,53,48
2013092508,50,3,10,53,48
2013092509,50,3,10,53,48
2013092509,60,3,10,53,48
2013092510,NA,0,10,51,47
2013092511,NA,0,10,52,48
2013092512,NA,0,10,52,48
2013092512,70,6,10,55,49
2013092513,50,3,10,61,51
2013092514,40,5,10,65,51
2013092515,40,5,10,65,51
2013092515,20,5,10,68,51
2013092516,40,9,10,70,50
2013092517,80,8,10,67,50
2013092518,80,8,10,67,50
2013092518,90,10,10,71,50
2013092519,40,6,10,73,51
2013092520,NA,0,10,73,48
2013092521,NA,0,10,73,48
2013092521,50,6,10,73,49
2013092522,50,7,10,68,47
2013092523,30,5,10,65,46
2013092600,30,5,10,65,46
2013092600,40,5,10,61,47
2013092601,20,7,10,59,47
2013092602,30,8,10,56,49
2013092603,30,8,10,56,49
2013092603,30,6,10,55,50
2013092604,50,7,10,53,50
2013092604,NA,NA,NA,NA,NA
2013092605,60,6,10,52,50
2013092606,60,6,10,52,50
2013092606,20,3,10,55,52
2013092607,310,5,7,50,48
2013092608,320,3,6,51,49
2013092609,320,3,5.6,51,49
2013092609,350,5,5,50,48
2013092610,340,3,4,49,47
2013092611,340,5,3,50,48
2013092612,340,5,3,50,48
2013092612,10,3,7,55,52
2013092613,20,3,10,62,54
2013092614,30,3,10,68,56
2013092615,30,3,10,68,56
2013092615,70,7,10,72,57
