House.Number,Address,Area.Floor,Basement.Area,Attic.Area,Window.Area,Wall.Area,Basement.Rvalue,Attic.Rvalue,Windows.Rvalue,Walls.Rvalue,Furnace.eff,AC.SEER,Water.Heater.eff,Refrig.Energy.Year,Refrig.EF,Refrig.Size,Lights.Num.Fluor,Lights.Watts.bulb,Lights.Operating.Hours,Water.Heater.On.Summer,AC.On.Summer,Furnace.Pilot.On.Summer,Refrig.On.Summer,Duct.Open.Area.Basement.in2,Attic.Penetration.in2,Occupancy.Number,Electric.Baseline.Intensity.kW.sf,ElectricTotal.Intensity.kW.sf,Gas.Baseline.kBTU.sf,Gas.Heating.kBTU.sf,Gas.Total.Intensity.kBTU.sf,Heating.Degree.Hours,Cooling.Degree.Hours
29,39 Evanston Ave,1180,696,688,134,1606,5,18,2,14,78%,0,0.56,479,19,20.5,18,14,4368,1,0,0,1,27,288,6,5,5,28,62,91,107708,40301
30,107 Evanston Ave,1228,648,656,168,1452,5,18,2,4,95%,13,0.56,461,16,16.5,16,14,4368,1,1,0,1,27,144,5,8,8,8,80,89,102726,3053
31,111 Evanston Ave,952,528,644,104,600,5,18,2,14,95%,10,0.81,479,19,20.5,18,14,4368,0,0,0,1,27,144,5,7,7,47,70,115,60150,5614
32,112 Evanston Ave,952,528,644,120,1200,5,18,2,5,78%,0,0.59,478,17,18.2,12,14,4368,1,0,1,1,27,0,5,4,6,64,38,104,88385,52075
33,115 Evanston Ave,1192,624,620,133,1427,5,18,2,5,78%,0,0.59,479,19,20.5,20,14,4368,1,0,1,0,27,144,4,5,9,70,77,148,97249,503
34,116 Evanston Ave,1211,684,719,147,1563,5,6,2,5,95%,13,0.81,406,22,20.6,20,14,4368,0,0,0,1,96,0,5,4,4,6,89,97,177004,54617
35,119 Evanston Ave,1200,696,708,129,1611,5,18,2,4,80%,0,0.59,406,22,20.6,22,14,4368,1,0,0,1,27,0,6,7,7,25,73,99,105159,846
36,120 Evanston Ave,1124,660,632,144,1506,5,18,2,5,80%,0,0.56,406,22,20.6,18,14,4368,1,0,0,1,0,0,4,6,7,99,73,171,68750,4475
37,124 Evanston Ave,1144,576,572,121,1319,5,22,2,5,80%,0,0.56,406,22,20.6,18,14,4368,1,0,0,1,0,288,6,5,5,30,102,133,119825,993
38,132 Evanston Ave,1911,780,776,135,1815,5,18,2,5,80%,0,0.59,406,22,20.6,20,14,4368,0,0,0,1,27,0,6,4,4,25,78,104,106722,746
39,135 Evanston Ave,1211,708,644,160,1610,5,18,2,4,80%,0,0.81,406,22,20.6,18,14,4368,0,0,1,1,0,0,5,3,3,41,80,121,116871,6646
40,136 Evanston Ave,952,648,560,138,1482,5,18,2,5,95%,13,0.56,479,19,20.5,16,14,4368,1,0,0,0,27,0,4,5,5,61,89,150,103404,852
41,139 Evanston Ave,1389,660,719,214,1436,5,20,2,5,95%,13,0.59,478,17,18.2,22,14,4368,1,0,0,1,27,0,5,8,8,36,75,109,65294,1465
42,143 Evanston Ave,1144,576,572,134,1306,5,18,2,5,80%,0,0.57,479,19,20.5,18,14,4368,1,0,1,1,27,0,5,6,6,87,88,173,57165,4312
43,228 Stonemill Rd,1115,0,973,256,1694,5,35,2,14,92%,13,0.59,600,12,16.8,24,14,4368,0,1,1,1,0,144,6,4,4,77,91.03934283,169,95343,1305
44,230 Stonemill Rd,1115,0,973,262,1688,5,35,2,14,92%,10,0.59,600,12,16.8,24,14,4368,0,1,1,1,0,144,6,1,1,46,57.78036798,103,65478,135307
45,231 Stonemill Rd,714,780,798,104,936,5,15,2,5,95%,10,0.63,509,18,20.5,12,14,4368,0,0,0,1,27,72,3,4,4,74,55.60889367,129,64866,1338
46,232 Stonemill Rd,1115,0,973,241,1709,5,35,2,14,96%,10,0.65,600,12,16.8,26,14,4368,0,1,0,1,0,0,6,6,6,69,72.7809115,141,57238,2285
47,234 Stonemill Rd,1115,0,973,214,1736,5,35,2,14,92%,16,0.59,600,12,16.8,20,14,4368,1,0,0,1,0,144,6,10,10,22,180.8937629,204,113990,757
48,233 Stonemill Rd,1908,852,1009,98,2032,5,18,2,14,80%,10,0.59,469,16,16.78,18,14,4368,0,1,0,1,0,0,5,6,6,123,105.1610849,226,58488,5663
49,237 Stonemill Rd,918,528,459,128,1192,5,18,2,5,95%,10,0.56,407,22,20.5,16,14,4368,1,1,0,1,27,0,3,5,5,79,94.64673942,172,65480,4211
50,238 Stonemill Rd,1004,0,777,85,1835,5,35,2,14,94%,15,0.65,469,16,16.78,16,14,4368,1,0,0,1,0,144,6,6,6,11,93.63637661,106,121869,2598
51,240 Stonemill Rd,1004,0,777,102,1818,5,35,2,14,94%,0,0.65,469,16,16.78,16,14,4368,1,0,0,1,0,144,6,5,5,32,113.0571738,146,116307,5571
52,306 Stonemill Rd,1834,756,836,129,1761,5,22,2,5,95%,13,0.81,407,22,20.5,18,14,4368,0,0,0,1,0,36,5,5,5,80,74.08544152,153,61368,812
53,301 Stonemill Rd,997,780,812,155,1795,5,22,2,5,95%,13,0.59,407,22,20.5,20,14,4368,1,1,0,1,0,0,6,5,5,49,75.89482275,125,116572,2119
54,305 Stonemill Rd,997,780,812,190,1760,5,22,2,5,95%,13,0.59,407,22,20.5,18,14,4368,1,1,0,1,0,0,6,3,3,24,53.53645743,78,111262,7585
55,307 Stonemill Rd,1832,840,880,166,1934,5,18,2,5,92%,15,0.63,407,22,20.5,24,14,4368,0,1,0,1,0,72,5,4,4,37,118.8202159,156,112388,4950
56,308 Stonemill Rd,1190,612,728,83,1447,5,18,2,14,80%,11.3,0.55,407,22,20.5,14,14,4368,1,0,0,1,27,0,5,9,9,51,77.1527444,127,63348,5349
57,309 Stonemill Rd,1568,840,832,140,1960,5,18,2,5,80%,0,0.59,407,22,20.5,20,14,4368,1,0,0,1,0,0,5,1,1,53,37.08357479,90,70185,135307
58,313 Stonemill Rd,1512,624,660,169,1391,5,32,2,14,92%,10,0.56,469,16,16.78,28,14,4368,1,0,0,1,0,0,5,5,5,86,55.71728079,140,53150,5376
59,315 Stonemill Rd,1698,0,1698,145,1925,5,38,2,14,94%,15,0.58,587,20,26.4,20,14,4368,0,1,0,1,0,0,6,11,20,64,121.2667085,185,238882,135307
60,317 Stonemill Rd,1698,0,1698,116,1954,5,38,2,14,94%,15,0.58,469,16,16.78,20,14,4368,0,0,0,1,0,0,5,8,11,0,0,0,145077,24993
61,319 Stonemill Rd,1698,0,1698,130,1940,5,38,2,14,94%,15,0.59,469,16,16.78,20,14,4368,0,1,0,1,0,0,5,10,10,45,92.05564239,138,111540,43116
62,321 Stonemill Rd,1698,0,1698,101,1969,5,38,2,14,94%,13,0.58,469,16,16.78,20,14,4368,1,0,0,1,0,0,5,9,10,0,0,0,145077,24993
63,323 Stonemill Rd,1698,0,1698,128,1942,5,38,2,14,94%,13,0.58,469,16,16.78,20,14,4368,1,1,0,1,0,0,5,13,13,79,86.0248232,163,58107,59475
64,320 Stonemill Rd,1096,936,1096,106,1142,5,13,2,5,95%,0,0.59,407,22,20.5,14,14,4368,1,0,0,1,27,0,5,4,4,38,48.45400363,85,64254,40300
65,324 Stonemill Rd,1115,0,973,218,1582,5,35,2,14,95%,13,0.7,600,12,16.8,26,14,4368,1,0,0,1,27,0,6,5,5,46,98.08555609,145,102146,15284
66,328 Stonemill Rd,1115,0,973,205,1595,5,35,2,14,95%,13,0.7,600,12,16.8,26,14,4368,1,1,0,1,27,0,6,11,11,40,62.82583186,101,64823,4246
67,333 Stonemill Rd,2773,1416,2640,292,3248,5,40,2,14,93%,16,0.95,407,22,16.8,80,14,4368,1,0,0,1,0,0,12,1,1,53,51.80808012,104,62542,135307
68,336  Stonemill Rd,768,768,768,70,954,5,6,2,14,78%,0,0.56,469,16,16.78,10,14,4368,1,0,1,1,0,0,2,2,2,17,100.4510088,118,126190,109063
69,337 Stonemill Rd,1460,660,910,153,1497,5,18,2,5,95%,13,0.59,469,16,16.78,12,14,4368,0,1,0,1,0,72,5,7,7,2,209.2382361,211,226782,2921
70,338 Stonemill Rd,978,888,978,80,1104,5,6,2,13,95%,13,0.59,407,22,20.5,10,14,4368,0,0,0,1,0,0,2,9,9,59,80.83796006,138,59215,135307
71,339 Stonemill Rd,1460,888,910,136,1048,5,6,2,14,78%,13,0.55,600,12,16.8,14,14,4368,0,1,0,1,0,0,5,6,6,30,50.35386006,79,62807,135307
72,340 Stonemill Rd,1784,996,1504,131,2359,5,22,2,5,78%,11.3,0.55,407,22,20.5,34,14,4368,1,1,1,0,0,0,6,7,7,31,101.8259492,134,206476,6412
73,341 Stonemill Rd,1152,804,944,112,1898,5,26,2,5,80%,11.3,0.59,469,16,16.78,16,14,4368,1,1,0,1,0,0,5,6,6,9,110.3707814,122,150994,7044
74,403 Stonemill Rd,1632,828,1040,166,1904,5,18,2,5,81%,0,0.56,600,22,20.5,20,14,4368,0,0,0,1,0,144,5,5,10,35,22.86584478,57,58090,14058
75,406 Stonemill Rd,1144,672,1144,100,1580,5,32,2,14,78%,0,0.86,479,17,18.2,20,14,4368,1,0,0,1,0,144,6,1,1,131,101.4324049,231,62996,135307
76,408 Stonemill Rd,1144,708,1144,165,1605,5,32,2,14,92%,13,0.59,479,17,18.2,24,14,4368,1,0,0,1,0,72,5,1,1,0,0,0,145077,24993
77,410 Stonemill Rd,1144,708,1144,165,1605,5,32,2,14,92%,10,0.59,479,17,18.2,24,14,4368,1,0,0,1,0,72,5,1,1,0,0,0,145077,24993
78,412 Stonemill Rd,1144,708,1144,165,1605,5,32,2,14,92%,10,0.59,479,17,18.2,10,14,4368,1,1,0,1,0,144,5,1,1,0,0,0,145077,24993
79,416 Stonemill Rd,1144,708,1144,173,1597,5,32,2,14,92%,10,0.59,479,17,18.2,10,14,4368,1,1,0,1,27,144,5,1,1,0,0,0,145077,24993
80,7 Lawnview Avenue,956,864,956,256,896,5,13,2,5,65%,0,0.56,407,22,20.5,16,14,4368,1,0,0,1,0,0,5,5,5,47,65,111,68217,59587
81,12 Lawnview Avenue,880,720,764,122,838,5,15,2,5,78%,0,0.59,407,22,20.5,16,14,4368,1,0,1,1,27,0,3,10,17,0,0,0,145077,24993
82,14 Lawnview Avenue,1334,780,600,168,1782,5,22,2,5,95%,10,0.83,407,22,20.5,16,14,4368,1,0,0,1,0,0,4,8,19,0,0,0,145077,24993
83,16 Lawnview Avenue,1334,564,600,173,1237,5,24,2,5,90%,0,0.83,407,22,20.5,16,14,4368,0,0,0,1,27,12,5,8,14,31,22,53,68802,2966
84,104 Lawnview Avenue,1144,576,572,159,1281,5,20,2,5,95%,16,0.59,407,22,20.5,18,14,4368,1,0,0,1,0,0,6,6,6,131,102,231,60623,5168
85,106 Lawnview Avenue,1708,744,900,200,1660,5,18,2,5,95%,10,0.63,407,22,20.5,20,14,4368,1,1,0,0,27,0,5,5,5,1,100,101,218253,862
86,108 Lawnview Avenue,1240,672,668,187,1493,5,13,2,4,95%,16,0.83,407,22,20.5,20,14,4368,0,1,0,1,27,0,5,55,55,212,1025,1257,184241,40301
87,110 Lawnview Avenue,1277,660,572,153,1497,5,6,2,5,95%,0,0.63,600,12,18,20,14,4368,1,0,0,1,0,0,6,55,55,191,1052,1249,108873,135307
88,112 Lawnview Avenue,1336,720,764,123,1677,5,13,2,5,78%,13,0.8,407,22,20.5,18,14,4368,0,0,0,0,27,0,2,8,8,944,1312,2268,96686,135307
89,114 Lawnview Avenue,1286,732,714,163,1667,5,22,2,14,70%,0,0.6,407,22,20.5,22,14,4368,0,0,1,1,0,0,5,6,6,21,99,121,181192,606
90,116 Lawnview Avenue,1304,696,732,184,1556,5,13,2,5,95%,14.5,0.83,461,16,16.5,20,14,4368,0,0,1,1,0,0,5,4,4,53,100,153,100764,7370
91,118 Lawnview Avenue,1270,720,698,140,1660,5,13,2,5,95%,13,0.8,407,22,20.5,18,14,4368,0,0,0,1,27,0,6,10,18,59,40,99,67551,2918
92,120 Lawnview Avenue,1336,720,764,189,1611,5,10,2,5,70%,0,0.63,509,18,20.5,18,14,4368,0,0,0,0,27,0,6,8,8,40,37,77,70706,6228
93,202 Lawnview Avenue,1179,576,607,168,1272,5,10,2,5,95%,10,0.63,479,19,20.5,16,14,4368,0,0,0,1,27,0,5,8,10,38,34,72,104222,1427
94,204 Lawnview Avenue,1228,660,656,142,1508,5,6,2,5,95%,10,0.63,407,22,20.5,14,14,4368,0,0,0,1,0,0,5,8,8,35,36,70,58571,135307
95,210 Lawnview Avenue,1124,720,656,104,1696,5,10,2,5,92%,0,0.6,407,22,20.5,8,14,4368,0,0,0,0,0,16,3,7,7,30,37,67,105527,5513
96,214  Kierfaber St ,1238,744,688,164,1696,5,18,2,5,80%,0,0.59,407,22,20.5,16,14,4368,1,0,0,1,27,0,6,52,52,287,588.9227131,881,100023,135307
97,215 Kierfaber St ,1600,744,800,137,1723,5,18,2,5,78%,0,0.59,430,21,20.43,22,14,4368,1,0,1,1,27,0,4,40,40,764,726.3155758,1479,65952,3351
98,216 Kierfaber St ,1219,684,635,172,1538,5,18,2,4,95%,13,0.59,407,22,20.5,20,14,4368,1,1,0,1,27,0,4,6,6,56,63.51009356,118,59757,14058
99,217 Kierfaber St ,1632,792,816,195,1785,5,18,2,4,95%,13,0.56,461,16,16.5,20,14,4368,1,1,0,1,0,0,6,6,6,42,58.5075576,101,98925,14058
100,218 Kierfaber St,1456,672,728,230,1450,5,18,2,4,95%,10,0.59,461,16,16.5,20,14,4368,1,1,0,1,0,0,6,6,6,29,79.89946827,110,103264,135307
101,219 Kierfaber St ,1560,696,780,230,1740,5,18,2,5,78%,0,0.59,461,16,16.5,20,14,4368,0,0,0,0,0,0,6,5,5,82,80.63485862,161,56311,135240
102,221 Kierfaber St,1464,696,712,222,1518,5,22,2,4,95%,16,0.56,407,22,20.5,18,14,4368,1,1,0,1,27,0,6,8,8,27,80.61410518,108,109737,18595
103,222 Kierfaber St ,812,552,528,130,606,5,20,2,4,80%,14,0.56,479,17,18.2,14,14,4368,0,0,0,0,0,0,3,8,8,16,173.792459,193,195350,52952
104,224 Kierfaber St,1140,744,760,176,1684,5,18,2,4,80%,0,0.56,461,16,16.5,20,14,4368,0,0,0,1,27,0,6,5,5,45,105.5491055,151,113795,1173
105,225 Kierfaber St ,1482,864,928,189,1971,5,15,2,4,90%,0,0.81,407,22,20.5,18,14,4368,1,0,0,1,27,0,6,6,6,15,142.9866087,161,186314,1349
106,226 Kierfaber St,1132,624,694,143,1417,5,15,2,4,85%,0,0.55,407,22,20.5,14,14,4368,1,0,0,1,27,144,6,7,12,26,113.7785711,140,219591,3872
107,227 Kierfaber St,1120,648,560,123,1497,5,15,2,4,100%,0,0.59,407,22,20.5,22,14,4368,1,0,1,1,0,0,6,4,8,17,132.9894396,148,250609,3198
108,229 Kierfaber St ,1120,648,560,200,1420,5,13,2,4,95%,13,0.55,461,16,16.5,14,14,4368,1,1,0,1,27,0,6,6,6,53,97.20117238,150,108638,14058
109,230 Kierfaber St ,1152,1152,1392,154,2726,5,6,2,4,60%,0,0.56,407,22,20.5,16,14,4368,1,0,0,1,72,0,5,6,6,117,92.11230625,211,88385,5244
110,233 Kierfaber St ,1720,840,860,281,1819,5,6,2,4,80%,0,0.59,407,22,20.5,18,14,4368,1,0,0,1,0,84,5,3,6,63,51.9195802,114,70869,5543
111,236 Kierfaber St ,1356,768,838,258,1662,5,6,2,4,80%,0,0.55,479,17,18.2,20,14,4368,1,0,0,1,0,0,6,4,4,41,122.8542442,165,104346,7463
112,239 Kierfaber St ,2050,888,1138,247,1973,5,20,2,5,95%,10,0.63,630,13,18.5,22,14,4368,1,1,0,1,0,128,5,5,5,13,54.79591994,68,116844,7840
113,240 Kierfaber St ,1288,756,812,184,1706,5,13,2,5,95%,14,0.65,461,16,16.5,28,14,4368,1,1,0,1,0,0,5,5,5,22,47.70435919,71,170011,2560
114,305 Kierfaber St ,1848,792,957,192,1788,5,22,2,5,95%,13,0.62,407,22,20.5,22,14,4368,1,1,0,1,0,0,5,3,3,2,61.08443949,63,231434,14058
115,307 Kierfaber St ,1464,612,816,160,1370,5,15,2,5,78%,13,0.55,407,22,20.5,22,14,4368,1,1,1,1,0,0,5,5,10,28,109.0544946,136,238400,7343
116,309 Kierfaber St ,1632,948,1028,127,2243,5,15,2,5,95%,13,0.81,407,22,20.5,18,14,4368,1,1,0,1,0,128,5,4,4,6,108.4332906,117,187495,2243
117,327 Kiefaber St,1704,948,1140,220,2150,5,15,2,5,90%,0,0.59,461,16,16.5,16,14,4368,1,0,1,1,0,0,6,6,6,0,134.7285354,135,234841,4303
118,331 Kiefaber St,1008,720,950,169,791,5,13,1,4,95%,13,0.59,407,22,20.5,18,14,4368,1,0,0,1,27,0,4,5,5,11,125.273163,139,172434,14158
119,413 Kiefaber St,850,708,688,99,845,5,6,2,4,80%,10,0.56,600,12,16.5,12,14,4368,0,0,0,0,0,0,3,9,21,55,74.14162958,131,181192,14058
120,415 Kiefaber St,950,828,918,142,962,5,18,1,4,80%,10,0.56,600,12,16.5,12,14,4368,0,0,0,0,0,0,4,6,12,87,50.16385004,136,57388,6315
