House.No,House.Address,Area.Floor.sf,E.Ele.kWh.1,E.Ele.kWh.2,E.Ele.kWh.3,E.Ele.kWh.4,E.Ele.kWh.5,E.Ele.kWh.6,E.Ele.kWh.7,E.Ele.kWh.8,E.Ele.kWh.9,E.Ele.kWh.10,E.Ele.kWh.11,E.Ele.kWh.12,E.Ele.kWh.13,E.Ele.kWh.14,E.Ele.kWh.15,E.Ele.kWh.16,E.Ele.kWh.17,E.Ele.kWh.18,E.Ele.kWh.19,E.Ele.kWh.20,E.Ele.kWh.21,E.Ele.kWh.22,E.Ele.kWh.23,E.Gas.Mcf.1,E.Gas.Mcf.2,E.Gas.Mcf.3,E.Gas.Mcf.4,E.Gas.Mcf.5,E.Gas.Mcf.6,E.Gas.Mcf.7,E.Gas.Mcf.8,E.Gas.Mcf.9,E.Gas.Mcf.10,E.Gas.Mcf.11,E.Gas.Mcf.12,E.Gas.Mcf.13,E.Gas.Mcf.14,E.Gas.Mcf.15,E.Gas.Mcf.16,E.Gas.Mcf.17,E.Gas.Mcf.18,E.Gas.Mcf.19,E.Gas.Mcf.20,E.Gas.Mcf.21,E.Gas.Mcf.22,E.Gas.Mcf.23
36,315 Stonemill Rd,1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,80,49.1,31.4,10,4.2,2.6,3.5,10,12.5,22.5,42.3,53.2,61.3,51,28.2,12.9,2.5,2.5,2.8
37,317 Stonemill Rd,1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,319 Stonemill Rd,1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,321 Stonemill Rd,1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,323 Stonemill Rd,1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,320 Stonemill Rd,1096,610,495,455,325,488,388,383,325,444,748,1012,1487,856,544,601,444,541,452,478,430,352,873,845,NA,NA,NA,17.9,28.1,17.9,12,3.5,0.8,0.6,0.8,1.4,2.3,7,12.8,17.2,18.7,15,8.1,3.1,0.7,0.8,0.7
42,324 Stonemill Rd,1115,1548,1171,1005,649,1141,1083,1164,1084,655,605,489,1519,1099,1085,1056,752,1080,993,979,771,704,772,888,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,328 Stonemill Rd,1115,1240,815,803,494,1217,648,603,411,594,685,1168,1753,1143,1010,893,622,1077,824,743,744,1796,465,818,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,333 Stonemill Rd,2773,3262,2291,2484,1554,2473,2077,2227,1762,1503,896,1094,3188,2496,2435,2527,1690,2349,1957,1853,1510,1111,1683,1946,NA,NA,NA,17.9,29,17.2,10.9,3.2,1.6,1.3,1.3,2.5,3.5,9.6,17.7,22.1,23.6,18.4,9.8,3.7,0.8,0.9,0.9
45,336  Stonemill Rd,768,221,249,291,276,382,299,268,221,158,133,123,282,285,334,360,278,431,363,289,197,87,75,84,NA,NA,NA,23.5,34.9,24.4,15.1,6,2.5,0.9,0.8,1.5,4.1,10.4,17.6,23.9,24.6,19.8,9.3,3.9,1.2,1.2,1.1
46,337 Stonemill Rd,1460,806,667,805,497,993,590,518,443,336,278,629,1035,755,568,626,439,794,754,707,709,630,1131,1418,NA,NA,NA,19.5,34.8,20.2,13,3.8,1.2,0.3,0.6,1.4,4,10.5,18.4,20.1,24.5,20.7,10.2,4.1,0.2,0.3,0.3
47,338 Stonemill Rd,978,643,422,407,329,394,296,257,241,492,381,111,880,363,340,429,378,517,463,443,363,332,216,637,NA,NA,NA,15,21.1,12.7,8.5,2.6,0.7,0.2,0.5,0.8,2.8,8.2,14.2,19,21.2,16.1,8.3,3.6,1.2,0.4,0.5
48,339 Stonemill Rd,1460,1037,556,543,457,668,535,459,838,535,362,573,1339,906,650,687,532,782,685,618,634,678,312,815,NA,NA,NA,27.4,43.5,28.8,18.2,4.5,0.4,0.2,0.4,1,3.2,10.6,19.1,25.9,27.1,24,9.8,3.2,0.3,0.4,0.3
49,340 Stonemill Rd,1784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,66.4,38.2,23.5,6.6,2.9,0.5,2.2,3.7,10.1,20.9,37.3,43.8,47.4,40.6,23,8.5,1.6,0.7,1.6
